Site,Date,TDS.mg.L,TSS.mg.L,NN.mg.L,TN.mg.L,TP.mg.L
Craig,2019-04,NA,NA,NA,NA,NA
Dearborn US,2019-04,NA,NA,NA,NA,NA
Dearborn DS,2019-04,NA,NA,NA,NA,NA
Hardy,2019-04,NA,NA,NA,NA,NA
Cascade,2019-04,NA,NA,NA,NA,NA
LPPC US,2019-05,NA,NA,NA,NA,NA
LPPC DS,2019-05,NA,NA,NA,NA,NA
Craig,2019-05,NA,NA,NA,NA,NA
Dearborn US,2019-05,NA,NA,NA,NA,NA
Dearborn DS,2019-05,NA,NA,NA,NA,NA
Hardy,2019-05,NA,NA,NA,NA,NA
Cascade,2019-05,NA,NA,NA,NA,NA
LPPC US,2019-06,NA,NA,NA,NA,NA
LPPC DS,2019-06,NA,NA,NA,NA,NA
Craig,2019-06,NA,NA,NA,NA,NA
Dearborn US,2019-06,NA,NA,NA,NA,NA
Dearborn DS,2019-06,NA,NA,NA,NA,NA
Hardy,2019-06,NA,NA,NA,NA,NA
Cascade,2019-06,NA,NA,NA,NA,NA
LPPC US,2019-07,NA,NA,NA,NA,NA
LPPC DS,2019-07,NA,NA,NA,NA,NA
Craig,2019-07,NA,NA,NA,NA,NA
Dearborn US,2019-07,NA,NA,NA,NA,NA
Dearborn DS,2019-07,NA,NA,NA,NA,NA
Hardy,2019-07,NA,NA,NA,NA,NA
Cascade,2019-07,NA,NA,NA,NA,NA
LPPC US,2019-08,NA,NA,NA,NA,NA
LPPC DS,2019-08,NA,NA,NA,NA,NA
Craig,2019-08,NA,NA,NA,NA,NA
Dearborn US,2019-08,NA,NA,NA,NA,NA
Dearborn DS,2019-08,NA,NA,NA,NA,NA
Hardy,2019-08,NA,NA,NA,NA,NA
Cascade,2019-08,NA,NA,NA,NA,NA
LPPC US,2019-09,NA,NA,NA,NA,NA
LPPC DS,2019-09,NA,NA,NA,NA,NA
Craig,2019-09,NA,NA,NA,NA,NA
Dearborn US,2019-09,NA,NA,NA,NA,NA
Dearborn DS,2019-09,NA,NA,NA,NA,NA
Hardy,2019-09,NA,NA,NA,NA,NA
Cascade,2019-09,NA,NA,NA,NA,NA
LPPC US,2019-10,206,2.8,0.11,0.34,0.06
LPPC DS,2019-10,220,1.6,0.1,0.21,0.033
Craig,2019-10,209,2,0.12,0.29,0.056
Dearborn US,2019-10,207,0.8,0.09,0.36,0.051
Dearborn DS,2019-10,217,1.2,0,0.05,0.004
Hardy,2019-10,203,0.8,0.02,0.3,0.045
Cascade,2019-10,203,1.2,0.11,0.23,0.038
LPPC US,2019-11,NA,NA,NA,NA,NA
LPPC DS,2019-11,NA,NA,NA,NA,NA
Craig,2019-11,NA,NA,NA,NA,NA
Dearborn US,2019-11,NA,NA,NA,NA,NA
Dearborn DS,2019-11,NA,NA,NA,NA,NA
Hardy,2019-11,NA,NA,NA,NA,NA
Cascade,2019-11,NA,NA,NA,NA,NA
LPPC US,2019-12,NA,NA,NA,NA,NA
LPPC DS,2019-12,NA,NA,NA,NA,NA
Craig,2019-12,NA,NA,NA,NA,NA
Dearborn US,2019-12,NA,NA,NA,NA,NA
Dearborn DS,2019-12,NA,NA,NA,NA,NA
Hardy,2019-12,NA,NA,NA,NA,NA
Cascade,2019-12,NA,NA,NA,NA,NA
LPPC US,2020-01,NA,NA,NA,NA,NA
LPPC DS,2020-01,NA,NA,NA,NA,NA
Craig,2020-01,NA,NA,NA,NA,NA
Dearborn US,2020-01,NA,NA,NA,NA,NA
Dearborn DS,2020-01,NA,NA,NA,NA,NA
Hardy,2020-01,NA,NA,NA,NA,NA
Cascade,2020-01,NA,NA,NA,NA,NA
LPPC US,2020-02,NA,NA,NA,NA,NA
LPPC DS,2020-02,NA,NA,NA,NA,NA
Craig,2020-02,NA,NA,NA,NA,NA
Dearborn US,2020-02,NA,NA,NA,NA,NA
Dearborn DS,2020-02,NA,NA,NA,NA,NA
Hardy,2020-02,NA,NA,NA,NA,NA
Cascade,2020-02,NA,NA,NA,NA,NA
LPPC US,2020-03,NA,NA,NA,NA,NA
LPPC DS,2020-03,NA,NA,NA,NA,NA
Craig,2020-03,NA,NA,NA,NA,NA
Dearborn US,2020-03,NA,NA,NA,NA,NA
Dearborn DS,2020-03,NA,NA,NA,NA,NA
Hardy,2020-03,NA,NA,NA,NA,NA
Cascade,2020-03,NA,NA,NA,NA,NA
LPPC US,2020-04,NA,NA,NA,NA,NA
LPPC DS,2020-04,NA,NA,NA,NA,NA
Craig,2020-04,NA,NA,NA,NA,NA
Dearborn US,2020-04,NA,NA,NA,NA,NA
Dearborn DS,2020-04,NA,NA,NA,NA,NA
Hardy,2020-04,NA,NA,NA,NA,NA
Cascade,2020-04,NA,NA,NA,NA,NA
LPPC US,2020-05,222,2,0,0.15,0.014
LPPC DS,2020-05,145,16,0.03,0.16,0.013
Craig,2020-05,223,2,0,0.16,0.006
Dearborn US,2020-05,211,4,0,0.16,0.015
Dearborn DS,2020-05,215,4,0,0.15,0.015
Hardy,2020-05,217,0,0,0.17,0.009
Cascade,2020-05,218,15,0,0.16,0.012
LPPC US,2020-06,NA,NA,NA,NA,NA
LPPC DS,2020-06,NA,NA,NA,NA,NA
Craig,2020-06,NA,NA,NA,NA,NA
Dearborn US,2020-06,NA,NA,NA,NA,NA
Dearborn DS,2020-06,NA,NA,NA,NA,NA
Hardy,2020-06,NA,NA,NA,NA,NA
Cascade,2020-06,NA,NA,NA,NA,NA
LPPC US,2020-07,211,0,0.04,0.26,0.009
LPPC DS,2020-07,195,1,0.1,0.21,0.018
Craig,2020-07,210,0,0.03,0.25,0.013
Dearborn US,2020-07,202,4,0.03,0.27,0.005
Dearborn DS,2020-07,204,2,0.03,0.25,0.009
Hardy,2020-07,208,0,0.03,0.25,0.015
Cascade,2020-07,207,4,0,0.28,0.017
LPPC US,2020-08,NA,NA,NA,NA,NA
LPPC DS,2020-08,NA,NA,NA,NA,NA
Craig,2020-08,NA,NA,NA,NA,NA
Dearborn US,2020-08,NA,NA,NA,NA,NA
Dearborn DS,2020-08,NA,NA,NA,NA,NA
Hardy,2020-08,NA,NA,NA,NA,NA
Cascade,2020-08,NA,NA,NA,NA,NA
LPPC US,2020-09,NA,NA,NA,NA,NA
LPPC DS,2020-09,NA,NA,NA,NA,NA
Craig,2020-09,NA,NA,NA,NA,NA
Dearborn US,2020-09,NA,NA,NA,NA,NA
Dearborn DS,2020-09,NA,NA,NA,NA,NA
Hardy,2020-09,NA,NA,NA,NA,NA
Cascade,2020-09,NA,NA,NA,NA,NA
LPPC US,2020-10,189,2,0.07,0.32,0.039
LPPC DS,2020-10,214,3,0.05,0.14,0.008
Craig,2020-10,193,3,0.04,0.3,0.037
